"ALERT_FAULTED_DISK_FULL_DETAIL_MSG","Disk #1 is faulted."
"ALERT_FAULTED_DISK_JR_EMAIL_MSG","There are faulted disks in this system."
"ALERT_FAULTED_FAN_FULL_DETAIL_MSG","Fan #1 is faulted."
"ALERT_FAULTED_FAN_JR_EMAIL_MSG","There are faulted fans in this system."
"ALERT_SMBUSACCESS_FAULTED_FULL_DETAIL_MSG","The following components are inaccessible to the storage system because the System Management Bus is faulted:#1"
"ALERT_SMBUSACCESS_FAULTED_JR_EMAIL_MSG","The following components are inaccessible to the storage system because the System Management Bus is faulted:#1 See alerts for details."
"ALERT_FAULTED_POWERSUPPLY_FULL_DETAIL_MSG","Power Supply #1 is faulted. The enclosure will continue to receive power from other working power supplies."
"ALERT_FAULTED_POWERSUPPLY_JR_EMAIL_MSG","There are faulted power supplies in this system."
"ALERT_FAULTED_SP_FULL_DETAIL_MSG","Storage Processor #1 is faulted."
"ALERT_FAULTED_SP_JR_EMAIL_MSG","There are faulted SPs in this system."
"ALERT_FAULTED_SPS_FULL_DETAIL_MSG","Standby Power Supply #1 is faulted."
"ALERT_FAULTED_SPS_JR_EMAIL_MSG","There are faulted SPSs in this system."
"ALERT_FAULTED_SUBSYS_FULL_DETAIL_MSG","The storage system is faulted."
"ALERT_FAULTED_SUBSYS_JR_EMAIL_MSG","This subsystem is faulted."
"ALERT_FAULTED_LCC_FULL_DETAIL_MSG","Link Control Card #1 is faulted. Path management software on your servers may show LUNs owned by this SP trespass to the other."
"ALERT_FAULTED_LCC_JR_EMAIL_MSG","There are faulted LCCs in the system."
"ALERT_FAULTED_INTERPOSER_FULL_DETAIL_MSG","Midplane #1 is faulted. Disk drives in this Disk Array Enclosure (DAE) are inaccessible by servers."
"ALERT_FAULTED_INTERPOSER_JR_EMAIL_MSG","There are faulted Midplanes in the system."
"ALERT_FAULTED_PERSONALITY_CARD_FULL_DETAIL_MSG","I/O Module #1 is faulted. Servers may have lost some or all of their paths to the storage system."
"ALERT_FAULTED_PERSONALITY_CARD_JR_EMAIL_MSG","I/O Module #1 is faulted.  Servers may have lost some or all of their paths to the storage system. See alerts for details."
"ALERT_FAULTED_DPE_FULL_DETAIL_MSG","Disk Processor Enclosure #1 is faulted. Servers may have lost access to disk drives in this storage system."
"ALERT_FAULTED_DPE_JR_EMAIL_MSG","Disk Processor Enclosure #1 is faulted. Servers may have lost access to disk drives in this storage system. See alerts for details."
"ALERT_FAULTED_DAE_FULL_DETAIL_MSG","Disk Array Enclosure #1 is faulted. Servers may have lost access to disk drives in this enclosure."
"ALERT_FAULTED_DAE_JR_EMAIL_MSG","Disk Array Enclosure #1 is faulted. Servers may have lost access to disk drives in this enclosure. See alerts for details."
"ALERT_LCC_IN_PORT_CABLE_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_IN_PORT_CABLE_ISOLATED_FAULT"
"ALERT_LCC_IN_PORT_CABLE_DEGRADED_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_IN_PORT_CABLE_DEGRADED_ISOLATED_FAULT"
"ALERT_LCC_IN_PORT_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_IN_PORT_ISOLATED_FAULT"
"ALERT_LCC_OUT_PORT_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_OUT_PORT_ISOLATED_FAULT"
"ALERT_LCC_IN_PORT_DEGRADED_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_IN_PORT_DEGRADED_ISOLATED_FAULT"
"ALERT_LCC_OUT_PORT_DEGRADED_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_OUT_PORT_DEGRADED_ISOLATED_FAULT"
"ALERT_LCC_DISK_ACCESS_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_DISK_ACCESS_ISOLATED_FAULT"
"ALERT_LCC_MISSING_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_MISSING_ISOLATED_FAULT"
"ALERT_LCC_STATUS_MONITOR_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_STATUS_MONITOR_ISOLATED_FAULT"
"ALERT_LCC_INTERPOSER_INTERFACE_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_INTERPOSER_INTERFACE_ISOLATED_FAULT"
"ALERT_LCC_OVERHEATING_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_OVERHEATING_ISOLATED_FAULT"
"ALERT_LCC_FAN_CONTROLLER_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_LCC_FAN_CONTROLLER_ISOLATED_FAULT"
"ALERT_INTERPOSER_MUX_LCC_A_INTERFACE_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_INTERPOSER_MUX_LCC_A_INTERFACE_ISOLATED_FAULT"
"ALERT_INTERPOSER_MUX_LCC_A_IO_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_INTERPOSER_MUX_LCC_A_IO_ISOLATED_FAULT"
"ALERT_INTERPOSER_MUX_LCC_B_INTERFACE_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_INTERPOSER_MUX_LCC_B_INTERFACE_ISOLATED_FAULT"
"ALERT_INTERPOSER_MUX_LCC_B_IO_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_INTERPOSER_MUX_LCC_B_IO_ISOLATED_FAULT"
"ALERT_DISK_REMOVED_ISOLATED_FAULT_JR_EMAIL_MSG","Mamba"
"ALERT_DISK_SAS_IN_SATA2_RG_ISOLATED_FAULT_JR_EMAIL_MSG","Mamba"
"ALERT_DISK_SATA2_IN_SAS_RG_ISOLATED_FAULT_JR_EMAIL_MSG","Mamba"
"ALERT_DISK_UNSUPPORTED_DRIVE_TYPE_ISOLATED_FAULT_JR_EMAIL_MSG","Mamba"
"ALERT_DISK_IS_WRONG_SIZE_ISOLATED_FAULT_JR_EMAIL_MSG","Mamba"
"ALERT_SINGLE_FAN_ON_LCC_AND_MULTI_FAN_ON_PEER_LCC_ISOLATED_FAULT_JR_EMAIL_MSG","ALERT_SINGLE_FAN_ON_LCC_AND_MULTI_FAN_ON_PEER_LCC_ISOLATED_FAULT"
